,No,State,Constituency,Candidate Name,Party,No of Criminal Cases,lat,lon
269,270,West Bengal,Kanthi,Sisir Kumar Adhikari,AITC,3,7.0913028,80.009114
270,271,Bihar,Karakat,Mahabali Singh,JD(U),3,25.1697215,84.2974162
271,272,Rajasthan,Karauli-dholpur,Manoj Rajoria,BJP,0,26.5071,77.2865
272,273,Assam,Karimganj,Kripanath Mallah,BJP,0,24.8483482,92.33221292310328
273,274,Telangana,Karimnagar,Bandi Sanjay Kumar,BJP,6,18.4346438,79.1322648
274,275,Haryana,Karnal,Sanjay Bhatia,BJP,0,29.6803266,76.9896254
275,276,Tamil Nadu,Karur,Jothimani S,INC,0,10.9301522,78.08485454572889
276,277,Kerala,Kasaragod,Rajmohan Unnithan,INC,1,12.502028,74.9899927
277,278,Bihar,Katihar,Dulal Chandra Goswami,JD(U),1,25.550475849999998,87.59414680800401
278,279,Uttar Pradesh,Kaushambi,Vinod Kumar Sonkar,BJP,4,28.6453286,77.3243485
279,280,Odisha,Kendrapara,Anubhav Mohanty,BJD,0,20.50040085,86.43170622796478
280,281,Odisha,Keonjhar,Chandrani Murmu,BJD,0,21.5,85.5
281,282,Punjab,Khadoor Sahib,Jasbir Singh Gill (dimpa),INC,0,31.4241739,75.0982026
282,283,Bihar,Khagaria,Choudhary Mehboob Ali Kaiser,LJNSP,1,25.51958905,86.4264545806904
283,284,Madhya Pradesh,Khajuraho,V.d. Sharma (vishnu Datt Sharma),BJP,0,24.8515132,79.9259786
284,285,Telangana,Khammam,Nama Nageswr Rao,TRS,5,17.2465351,80.1500326
285,286,Madhya Pradesh,Khandwa,Nandkumar Singh Chouhan (nandu Bhaiya),BJP,0,21.8203752,76.3555424
286,287,Madhya Pradesh,Khargone,Gajendra Umrao Singh Patel,BJP,0,21.8187743,75.6064577
287,288,Gujarat,Kheda,Chauhan Devusinh,BJP,0,22.75,72.833333
288,289,Uttar Pradesh,Kheri,Ajay Kumar,BJP,1,28.116667,80.716667
289,290,Jharkhand,Khunti,Arjun Munda,BJP,0,23.10018105,85.3454593617985
290,291,Bihar,Kishanganj,Dr. Mohammad Jawed,INC,1,26.130435300000002,87.94010318229245
291,292,Jharkhand,Kodarma,Annpurna Devi,BJP,0,24.4663801,85.5937309
292,293,Assam,Kokrajhar,Naba Kumar Sarania,IND,5,26.58687695,90.29293105124796
293,294,Karnataka,Kolar,S. Muniswamy,BJP,2,13.1369996,78.1339606
294,295,Maharashtra,Kolhapur,Sanjay Sadashivrao Mandlik,SHS,0,16.7028412,74.2405329
295,296,West Bengal,Kolkata Dakshin,Mala Roy,AITC,3,22.51856525,88.35261397843968
296,297,West Bengal,Kolkata Uttar,Bandyopadhyay Sudip,AITC,2,22.5759,88.3725
297,298,Kerala,Kollam,N.k.premachandran,RCP,5,8.8879509,76.5955013
298,299,Karnataka,Koppal,Karadi Sanganna Amarappa,BJP,1,15.3484144,76.1547421
299,300,Odisha,Koraput,Saptagiri Sankar Ulaka,INC,0,19.0,83.0
300,301,Chhattisgarh,Korba,Jyotsna Charandas Mahant,INC,0,22.3547468,82.7110855
301,302,Rajasthan,Kota,Om Birla,BJP,1,25.1737019,75.8574194
302,303,Kerala,Kottayam,Thomas Chazhikadan,KCM,0,9.591564,76.5221599
303,304,Kerala,Kozhikode,M.k.raghavan,INC,1,11.2446144,75.7759372
304,305,Tamil Nadu,Krishnagiri,Dr.a.chellakumar,INC,5,12.5188835,78.2206536
305,306,West Bengal,Krishnanagar,Mahua Moitra,AITC,0,23.40201295,88.49178582693509
306,307,Andhra Pradesh,Kurnool,Ayushman Doctor Sanjeev Kumar,YSRCP,0,15.8309251,78.0425373
307,308,Haryana,Kurukshetra,Nayab Singh,BJP,0,29.9693747,76.8482787
308,309,Uttar Pradesh,Kushi Nagar,Vijay Kumar Dubey,BJP,2,26.7399,83.887
309,310,Jammu & Kashmir,Ladakh,Jamyang Tsering Namgyal,BJP,1,33.9456407,77.6568576
310,311,Assam,Lakhimpur,Pradan Baruah,BJP,0,27.946309,80.7815166
311,312,Lakshadweep,Lakshadweep,Mohammed Faizal Pp,NCP,2,10.8832771,72.8171069
312,313,Uttar Pradesh,Lalganj,Sangeeta Azad,BSP,0,25.8024606,82.9987693
313,314,Maharashtra,Latur,Sudhakar Tukaram Shrangare,BJP,0,18.426698000000002,76.48706130861112
314,315,Jharkhand,Lohardaga,Sudarshan Bhagat,BJP,0,23.46920055,84.73568423071751
315,316,Uttar Pradesh,Lucknow,Rajnath Singh,BJP,0,26.8381,80.9346001
316,317,Punjab,Ludhiana,Ravneet Singh Bittu,INC,3,30.9090157,75.851601
317,318,Uttar Pradesh,Machhlishahr,Bholanath (b.p. Saroj),BJP,0,25.6854524,82.4102365
318,319,Andhra Pradesh,Machilipatnam,Balashowry Vallabhaneni,YSRCP,2,16.1819393,81.1351299
319,320,Maharashtra,Madha,Ranjeetsinha Hindurao Naik-nimbalkar,BJP,2,18.034085,75.5163621
320,321,Bihar,Madhepura,Dinesh Chandra Yadav,JD(U),1,25.9259562,86.82042961035677
321,322,Bihar,Madhubani,Ashok Kumar Yadav,BJP,1,26.3270856,86.02271839182742
322,323,Tamil Nadu,Madurai,Venkatesan S,CPI(M),0,9.9261153,78.1140983
323,324,Telangana,Mahabubabad,Kavitha Malothu,TRS,1,17.595749,79.9999224
324,325,Uttar Pradesh,Maharajganj,Pankaj Choudhary,BJP,5,27.1458005,83.5621855
325,326,Bihar,Maharajganj,"Janardan Singh 'sigriwal""",BJP,5,27.1458005,83.5621855
326,327,Chhattisgarh,Mahasamund,Chunni Lal Sahu,BJP,0,21.1101022,82.0986634
327,328,Telangana,Mahbubnagar,Manne Srinivas Reddy,TRS,0,16.7573022,77.9990919
328,329,Gujarat,Mahesana,Shardaben Anilbhai Patel,BJP,0,23.666667,72.5
329,330,Uttar Pradesh,Mainpuri,Mulayam Singh Yadav,SP,1,27.166667,79.0
330,331,Kerala,Malappuram,P.k. Kunhalikutty,IUML,2,11.0425345,76.078402
331,332,West Bengal,Maldaha Dakshin,Abu Hasem Khan Chowdhury (dalu),INC,0,10.5667,72.6417
332,333,West Bengal,Maldaha Uttar,Khagen Murmu,BJP,4,25.1786,88.2461
333,334,Telangana,Malkajgiri,Anumula Revanth Reddy,INC,42,17.4483438,78.5289727
334,335,Himachal Pradesh,Mandi,Ram Swaroop Sharma,BJP,0,40.001285,3.8343479
335,336,Madhya Pradesh,Mandla,Faggan Singh Kulaste,BJP,0,22.5259464,80.2816781
336,337,Madhya Pradesh,Mandsour,Sudheer Gupta,BJP,1,24.0734,75.0679
337,338,Karnataka,Mandya,Sumalatha Ambareesh,IND,0,12.5238888,76.8961961
338,339,Assam,Mangaldoi,Dilip Saikia,BJP,0,26.436303,92.0306569
339,340,Uttar Pradesh,Mathura,Hema Malini,BJP,0,27.633333,77.583333
340,341,West Bengal,Mathurapur,Choudhury Mohan Jatua,AITC,0,22.1221764,88.384274
341,342,Maharashtra,Maval,Shrirang Appa Chandu Barne,SHS,3,34.0441081,-5.0110493
342,343,Kerala,Mavelikara,Kodikunnil Suresh,INC,1,9.2504893,76.5402433
